TallyType,Surface,Distance,Energy,Counts,Uncertainty
tally_type_1,7,0.0,5.0484,917244.0,0.001
tally_type_1,7,0.0,5.282,919996.0,0.001
tally_type_1,7,0.0,5.5265,923004.0,0.001
tally_type_1,7,0.0,5.782299999999999,925646.0,0.001
tally_type_1,7,0.0,6.05,927928.0,0.001
tally_type_1,7,0.0,6.33,932030.0,0.001
tally_type_1,7,0.0,6.623,932256.0,0.001
tally_type_1,7,0.0,6.9296,937764.0,0.001
tally_type_1,7,0.0,7.2503,937703.0,0.001
tally_type_1,7,0.0,7.5859,940836.0,0.001
tally_type_1,7,0.0,7.937100000000001,943024.0,0.001
tally_type_1,7,0.0,8.3044,944831.0,0.001
tally_type_1,7,0.0,8.6888,946766.0,0.001
tally_type_1,7,0.0,9.091,950886.0,0.001
tally_type_1,7,0.0,9.511800000000001,951470.0,0.001
tally_type_1,7,0.0,9.9521,955015.0,0.001
tally_type_1,7,0.0,10.413,956871.0,0.001
tally_type_1,7,0.0,10.895,957641.0,0.001
tally_type_1,7,0.0,11.399,962468.0,0.001
tally_type_1,7,0.0,11.927,964778.0,0.001
tally_type_1,7,0.0,12.479000000000001,965770.0,0.001
tally_type_1,7,0.0,13.056,969289.0,0.001
tally_type_1,7,0.0,13.661,970715.0,0.001
tally_type_1,7,0.0,14.293,973998.0,0.001
tally_type_1,7,0.0,14.955,977066.0,0.001
tally_type_1,7,0.0,15.647000000000002,977503.0,0.001
tally_type_1,7,0.0,16.371,979964.0,0.001
tally_type_1,7,0.0,17.128999999999998,982106.0,0.001
tally_type_1,7,0.0,17.922,984220.0000000001,0.001
tally_type_1,7,0.0,18.751,988413.0,0.001
tally_type_1,7,0.0,19.619,988017.0000000001,0.001
tally_type_1,7,0.0,20.527,993130.0,0.001
tally_type_1,7,0.0,21.477,993930.0000000001,0.001
tally_type_1,7,0.0,22.471,997041.0,0.001
tally_type_1,7,0.0,23.512,998208.0,0.001
tally_type_1,7,0.0,24.6,1001430.0,0.001
tally_type_1,7,0.0,25.738,1004090.0,0.001
tally_type_1,7,0.0,26.93,1007510.0000000001,0.001
tally_type_1,7,0.0,28.176,1008140.0,0.001
tally_type_1,7,0.0,29.481,1012160.0,0.001
tally_type_1,7,0.0,30.845000000000002,1015560.0,0.001
tally_type_1,7,0.0,32.273,1016990.0,0.001
tally_type_1,7,0.0,33.766999999999996,1020180.0000000001,0.001
tally_type_1,7,0.0,35.33,1025180.0000000001,0.001
tally_type_1,7,0.0,36.964999999999996,1027300.0000000001,0.001
tally_type_1,7,0.0,38.676,1029760.0,0.001
tally_type_1,7,0.0,40.466,1035440.0000000001,0.001
tally_type_1,7,0.0,42.339,1038979.9999999999,0.001
tally_type_1,7,0.0,44.299,1042980.0,0.001
tally_type_1,7,0.0,46.349000000000004,1045970.0,0.001
tally_type_1,7,0.0,48.495000000000005,1051810.0,0.001
tally_type_1,7,0.0,50.739,1056500.0,0.001
tally_type_1,7,0.0,53.088,1059890.0,0.001
tally_type_1,7,0.0,55.544999999999995,1065970.0,0.001
tally_type_1,7,0.0,58.116,1071570.0,0.001
tally_type_1,7,0.0,60.806,1079230.0,0.001
tally_type_1,7,0.0,63.620999999999995,1085040.0,0.001
tally_type_1,7,0.0,66.566,1090660.0,0.001
tally_type_1,7,0.0,69.647,1099790.0,0.001
tally_type_1,7,0.0,72.87100000000001,1107700.0,0.0009
tally_type_1,7,0.0,76.244,1116570.0,0.0009
tally_type_1,7,0.0,79.773,1126890.0,0.0009
tally_type_1,7,0.0,83.465,1133700.0,0.0009
tally_type_1,7,0.0,87.32900000000001,1145160.0,0.0009
tally_type_1,7,0.0,91.371,1156350.0,0.0009
